Name,Description,2022-23 Variable name,Years used,2021-22 equivalent,2020-21 equivalent,2018-19 equivalent,2022-23 Cluster
1:1 mentoring,Students connect with adults in and/or outside of the learning environment for 1:1 mentoring and regular check-in meetings.,practices_mentoring,"2018-19,2020-21,2021-22,2022-23",practices_mentoring,mentoring,mentoring,Set 4
à la carte model,A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,practices_a_la_carte,"2018-19,2020-21,2021-22,2022-23",practices_a_la_carte,a_la_carte,a_la_carte,Nested
accommodations provided to all students,"Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.",practices_accommodations,"2018-19,2020-21,2021-22,2022-23",practices_accommodations,accommodations,accommodations,Set 6
adult wellness/SEL,"Staff have regular opportunities to cultivate their own social, emotional, and cultural competence, collaborate with one another, build trusting relationships, and maintain a strong community.",practices_adult_sel,2022-23,,,,Set 1
advancement on mastery,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",practices_advancement_mastery,"2018-19,2020-21,2021-22,2022-23",practices_advancement_mastery,advancement_mastery,advancement_mastery,Set 3
all courses designed for inclusion,"Students who typically receive pull-out services or instruction in segregated classrooms (e.g., students classified as English Learners, students with disablities) are integrated with appropriate supports in place to support learning, language ability, and full participation in curriculum.",practices_inclusion,2022-23,,,,Set 6
anti-racist practices,The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,practices_anti_racist,"2020-21,2021-22,2022-23",practices_anti_racist,anti_racist_action,,Set 1
assessments for agency and self-directed learning,"Tests are administered to measure student performance on various dimensions of self-directed learning (e.g., self-awareness, agency, goal-setting and planning, etc.) ",practices_assessments_agency,2022-23,,,,Set 3
assessments for career readiness,The learning environment assesses students' readiness to enter the workforce and pursue a career path.,practices_assessments_career,"2018-19,2020-21,2021-22,2022-23",practices_assessments_career,assessments_career,measures_career,Set 3
assessments for deeper learning,"The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",practices_assessments_deeper,"2018-19,2020-21,2021-22,2022-23",practices_assessments_deeper,assessments_deeper,measures_deeper,Set 3
assessments for social-emotional skills,"The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.",practices_assessments_sel,"2018-19,2020-21,2021-22,2022-23",practices_assessments_sel,assessments_sel,measures_sel,Set 3
bilingual assessments,Tests are designed and administered to build on students' bilingual abilities.,practices_assessments_bilingual,2022-23,,,,Set 3
blended learning,"Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning. ",practices_blended_learning,"2018-19,2020-21,2021-22,2022-23",practices_blended_learning,blended_learning,blended_learning,Set 5
