Variable Name,Variable Description,Corresponding Survey Question,Response Types,Source,Data Subset,Clean Label,Short Label for Plots,Confidential,Included in Public Facing?
nominator,The organization(s) which nominated the school or learning environment,What organization do you work for or represent?,Open response,Nomination Survey,School data,Nominator,nominator,No,Yes
school_id,Canopy school ID number assigned by the Canopy project (metadata),N/A,Internally generated unique identifier,Canopy created var,School data,School ID,school_id,No,Yes
school_name,Name of the school,School name:,Open response,School Survey,School data,School Name,school_name,No,Yes
school_address,Street address where the school is located,School address:,Open response,School Survey,School data,Address,school_address,No,Yes
school_city,City where the school is located,School city:,Open response,School Survey,School data,City,school_city,No,Yes
school_state,State where the school is located,School state:,Open response,School Survey,School data,State,school_state,No,Yes
school_district,School district,School district:,Open response,School Survey,School data,District,school_district,No,Yes
website,School website,School website:,Open response,School Survey,School data,Website,website,No,Yes
school_descriptor,Describes the school type,Which option best describes your school or learning environment?,"1 = Public district school
2 = Public charter school
3 = Independent (private) school",School Survey,School data,Type,school_type,No,Yes
school_descriptor_homeschool,Indicates whether the school identifies as a home school,Do any of the following descriptors apply to your school or learning environment? Select all that apply.,"0 = No
1 = Yes",School Survey,School data,Homeschool,desc_homeschool,No,Yes
school_descriptor_hybrid,Indicates whether the school identifies as a hybrid school,Do any of the following descriptors apply to your school or learning environment? Select all that apply.,"0 = No
1 = Yes",School Survey,School data,Hybrid,desc_hybrid,No,Yes
school_descriptor_microschool,Indicates whether the school identifies as a microschool,Do any of the following descriptors apply to your school or learning environment? Select all that apply.,"0 = No
1 = Yes",School Survey,School data,Microschool,desc_microschool,No,Yes
school_descriptor_other,Indicates whether the school chose to self-identify an additional school descriptor,Do any of the following descriptors apply to your school or learning environment? Select all that apply.,"0 = No
1 = Yes",School Survey,School data,Other,desc_other,No,Yes
school_descriptor_other_text,Self-identified school descriptor,Do any of the following descriptors apply to your school or learning environment? Select all that apply.,Open response,School Survey,School data,,desc_other_text,No,Yes
school_descriptor_sws,Indicates whether the school identifies as a school within a school,Do any of the following descriptors apply to your school or learning environment? Select all that apply.,"0 = No
1 = Yes",School Survey,School data,School-within-school,desc_sws,No,Yes
school_descriptor_virtual,Indicates whether the school identifies as a virtual school,Do any of the following descriptors apply to your school or learning environment? Select all that apply.,"0 = No
1 = Yes",School Survey,School data,Virtual,desc_virtual,No,Yes
practices_a_la_carte,Indicates whether the school selected the tag à la carte model: A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,à la carte model,prac_a_la_carte,No,Yes
practices_accommodations,"Indicates whether the school selected the tag accommodations provided to all students: Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,accomodations provided\nto all students,prac_accommodations,No,Yes
practices_adult_wellness,"Indicates whether the school selected the tag adult wellness/SEL: Staff have regular opportunities to cultivate their own social, emotional, and cultural competence, collaborate with one another, build trusting relationships, and maintain a strong community.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,adult wellness/SEL,prac_adult_sel,No,Yes
practices_advancement_mastery,"Indicates whether the school selected the tag advancement on mastery: Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,advancement on mastery,prac_mastery,No,Yes
practices_advisories,"Indicates whether the school selected the tag student advisories: Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,student advisories,prac_advisories,No,Yes
practices_all_courses_designed_for_inclusion,"Indicates whether the school selected the tag all courses designed for inclusion: Students who typically receive pull-out services or instruction in segregated classrooms (e.g., students classified as English Learners, students with disablities) are integrated with appropriate supports in place to support learning, language ability, and full participation in curriculum.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,all courses designed\nfor inclusion,prac_inclusion,No,Yes
practices_anti_racist,Indicates whether the school selected the tag anti-racist practices: The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,anti-racist practices,prac_antiracist,No,Yes
practices_assessments_agency,"Indicates whether the school selected the tag assessments for agency and self-directed learning Tests are administered to measure student performance on various dimensions of self-directed learning (e.g., self-awareness, agency, goal-setting and planning, etc.) ",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,assessments for agency &\nself-directed learning,prac_assess_agency,No,Yes
practices_assessments_bilingual,Indicates whether the school selected the tag bilingual assessments: Tests are designed and administered to build on students' bilingual abilities.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,bilingual assessments,prac_assess_bilingual,No,Yes
practices_assessments_career,Indicates whether the school selected the tag assessments for career readiness: The learning environment assesses students' readiness to enter the workforce and pursue a career path.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,assessments for career readiness,prac_assess_career,No,Yes
practices_assessments_deeper,"Indicates whether the school selected the tag assessments for deeper learning: The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,assessments for deeper learning,prac_assess_deep,No,Yes
practices_assessments_sel,"Indicates whether the school selected the tag assessments for social-emotional skills: The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,assessments for social-\nemotional skills,prac_assess_sel,No,Yes
practices_blended_learning,"Indicates whether the school selected the tag blended learning: Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,blended learning,prac_blended_learning,No,Yes
practices_career_prep,"Indicates whether the school selected the tag career prep and work-based learning: The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,career prep & work-\nbasedlearning,prac_career_prep,No,Yes
practices_co_leaders,"Indicates whether the school selected the tag co-leadership: The learning environment involves stakeholders in the process of decision-making and communicates how the input gathered from stakeholders informs decision-making. This may include teachers, students, families, community-based organizations, industry-based partners, or others.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,co-leadership,prac_colead,No,Yes
practices_community_leaders,"Indicates whether the school selected the tag community-based organizations as co-leaders: The learning environment involves community-based organizations in shared decision-making, and communicates how CBO input has informed decision-making. This may include strategies such as offering learning hubs and integrating expertise into schools.",Which of the following stakeholders participate as co-leaders? Select all that apply.,"0 = No
1 = Yes",School Survey,Tags data,CBOs as co-leaders,prac_colead_community,No,Yes
practices_community_partnerships,"Indicates whether the school selected the tag community and business partnerships: Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,community & business\npartnerships,prac_community_partners,No,Yes
practices_community_supports,"Indicates whether the school selected the tag family and community support services: The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,family & community\nsupport services,prac_community_supports,No,Yes
practices_competency_education,"Indicates whether the school selected the tag competency/mastery-based education: The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,competency/mastery-based\neducation,prac_competency_ed,No,Yes
practices_competency_framework,Indicates whether the school selected the tag competency framework: A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,competency framework,prac_competency_frame,No,Yes
