school_id,school_name,school_state,"Big Picture 
Learning",EL Edu,IB,"New Tech 
Network","Opportunity 
Culture","Summit 
Learning",grades_high,waiver_application,political_impact,category,count
796,Schools of Perea,Tennessee,0,0,0,0,0,0,0,Not considered,5,Urban,1
787,California Area High School,Pennsylvania,0,0,0,0,0,0,1,Not considered,5,Rural,1
786,New School of San Francisco,California,0,1,0,0,0,0,0,Not considered,4,Urban,1
785,Rogers High School,Rhode Island,0,0,0,0,0,0,1,Not considered,3,Urban,1
780,Hartford Area Career and Technology Center,Vermont,0,0,0,0,0,0,1,Not considered,3,Rural,1
780,Hartford Area Career and Technology Center,Vermont,0,0,0,0,0,0,1,Not considered,3,Suburban,1
780,Hartford Area Career and Technology Center,Vermont,0,0,0,0,0,0,1,Not considered,3,Multiple,1
778,EVOLVE Academy,Massachusetts,0,0,0,0,0,0,1,"Considered, but not applied",2,Urban,1
777,Anderson Institute of Technology,South Carolina,2,1,0,0,0,1,1,Not considered,4,Suburban,1
764,Robert F. Smith STEAM Academy,Colorado,1,0,0,1,2,0,1,Received,5,Urban,1
753,University High School,Tennessee,1,0,0,0,1,0,1,Received,2,Urban,1
752,The Leadership School,Missouri,0,2,0,0,0,0,0,Not considered,3,Suburban,1
746,Opportunity Academy at Holyoke High School,Massachusetts,0,0,0,0,0,0,1,Received,2,Urban,1
745,Chelsea Opportunity Academy,Massachusetts,1,1,0,2,0,1,1,Not considered,1,Suburban,1
743,KIPP Beyond Middle School,New York,0,0,0,0,0,0,0,Not considered,2,Urban,1
740,Impact | Salish Sea Elementary,Washington,0,0,0,0,0,0,0,Not considered,1,Urban,1
739,Impact | Commencement Bay Elementary,Washington,0,0,0,0,0,0,0,Not considered,1,Urban,1
731,URBAN ACT Academy,Indiana,0,1,0,0,0,0,0,Received,5,Urban,1
715,Las Américas ASPIRA Academy,Delaware,0,0,0,0,0,0,1,Not considered,4,Suburban,1
715,Las Américas ASPIRA Academy,Delaware,0,0,0,0,0,0,1,Not considered,4,Urban,1
715,Las Américas ASPIRA Academy,Delaware,0,0,0,0,0,0,1,Not considered,4,Multiple,1
714,Kansas City Girls Prep Academy,Missouri,0,0,0,0,0,0,0,"Applied, but not received",3,Urban,1
