y,label,x,PANEL,group,colour,size,angle,hjust,vjust,alpha,family,fontface,lineheight
-7,AL,8,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-7,AK,1,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,AZ,3,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,AR,6,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,CA,2,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,CO,4,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,CT,11,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,DE,11,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,DC,10,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-8,FL,10,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-7,GA,9,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-8,HI,1,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,ID,3,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,IL,7,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,IN,7,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,IA,6,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,KS,5,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,KY,7,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-7,LA,6,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-1,ME,12,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,MD,10,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,MA,11,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,MI,8,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,MN,6,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-7,MS,7,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,MO,6,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,MT,4,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,NE,5,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,NV,3,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-2,NH,12,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,NJ,10,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,NM,4,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,NY,10,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,NC,8,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,ND,5,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,OH,8,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-7,OK,5,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,OR,2,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,PA,9,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,RI,12,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,SC,9,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,SD,5,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-6,TN,7,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-8,TX,5,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,UT,3,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-2,VT,11,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,VA,9,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-3,WA,2,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-5,WV,8,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-2,WI,7,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
-4,WY,4,1,-1,white,5,0,0.5,0.5,NA,,1,1.2
