practices_design_marginalized,rate,group,n,pct
191,191,BIPOC students,162,0.8481675392670157
191,191,Economically Disadvantaged Students,164,0.8586387434554974
191,191,Students Classified as English Learners,134,0.7015706806282722
191,191,Students in the Foster Care System,102,0.5340314136125655
191,191,Students Experiencing Houselessness,127,0.6649214659685864
191,191,Students with Interrupted Formal Education,86,0.450261780104712
191,191,Students in the Juvenile Justice System,45,0.2356020942408377
191,191,Multilingual Students,111,0.581151832460733
191,191,Newcomer and Recently Arrived Students,77,0.4031413612565445
191,191,Other,12,0.06282722513089005
191,191,Students with Disabilities,164,0.8586387434554974
